city,price_bus,price_train,stops_bus,stops_train,density,hhsize,homeown,d_ib,d_it
nr_1,5.82,0.0,33,0,5.1,3,0,0,0
nr_2,5.93,0.0,32,0,4.75,3,0,0,0
nr_3,4.53,0.0,21,0,3.01,1,0,0,0
nr_4,7.12,0.0,39,0,5.83,2,0,0,0
nr_5,7.93,0.0,43,0,5.95,4,1,0,0
nr_6,2.86,0.0,14,0,1.59,4,1,0,0
nr_7,3.45,0.0,17,0,2.18,2,1,0,0
nr_8,9.13,0.0,53,0,7.69,4,1,0,0
nr_9,7.66,0.0,45,0,6.75,3,1,0,0
nr_10,5.67,0.0,28,0,3.45,4,1,0,0
nr_11,7.65,0.0,44,0,6.39,3,1,0,0
nr_12,7.21,0.0,43,0,6.18,2,1,0,0
nr_13,3.72,0.0,16,0,1.71,2,1,0,0
nr_14,8.72,0.0,49,0,7.54,1,1,0,0
nr_15,6.13,0.0,32,0,4.42,3,1,0,0
nr_16,3.1,0.0,14,0,1.62,2,1,0,0
nr_17,5.2,0.0,30,0,3.87,1,0,0,0
nr_18,7.63,0.0,47,0,6.87,3,1,0,0
nr_19,4.38,0.0,22,0,2.54,3,1,0,0
nr_20,5.33,0.0,26,0,3.79,1,1,0,0
nr_21,3.12,0.0,11,0,1.37,2,1,0,0
nr_22,3.48,0.0,17,0,1.99,3,1,0,0
nr_23,2.19,0.0,9,0,1.08,2,1,0,0
nr_24,6.45,0.0,35,0,4.7,3,1,0,0
nr_25,7.67,0.0,47,0,6.93,1,0,0,0
nr_26,8.53,0.0,47,0,6.8,3,1,0,0
nr_27,7.74,0.0,44,0,6.78,2,1,0,0
nr_28,6.08,0.0,32,0,4.48,2,0,0,0
nr_29,6.22,0.0,37,0,5.4,4,1,0,0
nr_30,6.69,0.0,36,0,5.25,3,1,0,0
nr_1,5.82,0.0,33,0,5.1,5,1,0,0
nr_2,5.93,0.0,32,0,4.75,3,1,0,0
nr_3,4.53,0.0,21,0,3.01,4,0,0,0
nr_4,7.12,0.0,39,0,5.83,1,1,0,0
nr_5,7.93,0.0,43,0,5.95,7,1,0,0
nr_6,2.86,0.0,14,0,1.59,3,1,0,0
nr_7,3.45,0.0,17,0,2.18,1,1,0,0
nr_8,9.13,0.0,53,0,7.69,4,0,0,0
nr_9,7.66,0.0,45,0,6.75,4,1,1,0
nr_10,5.67,0.0,28,0,3.45,1,1,0,0
nr_11,7.65,0.0,44,0,6.39,2,0,0,0
nr_12,7.21,0.0,43,0,6.18,1,1,1,0
nr_13,3.72,0.0,16,0,1.71,3,1,0,0
nr_14,8.72,0.0,49,0,7.54,3,1,0,0
nr_15,6.13,0.0,32,0,4.42,4,1,0,0
nr_16,3.1,0.0,14,0,1.62,5,1,0,0
nr_17,5.2,0.0,30,0,3.87,2,0,0,0
nr_18,7.63,0.0,47,0,6.87,4,1,1,0
nr_19,4.38,0.0,22,0,2.54,5,0,0,0
nr_20,5.33,0.0,26,0,3.79,2,0,0,0
nr_21,3.12,0.0,11,0,1.37,5,0,0,0
nr_22,3.48,0.0,17,0,1.99,3,1,0,0
